"","Year","Month","Births"
"1",1950,"January",22.604
"2",1950,"February",20.894
"3",1950,"March",24.677
"4",1950,"April",23.673
"5",1950,"May",25.32
"6",1950,"June",23.583
"7",1950,"July",24.671
"8",1950,"August",24.454
"9",1950,"September",24.122
"10",1950,"October",24.252
"11",1950,"November",22.084
"12",1950,"December",22.991
"13",1951,"January",23.287
"14",1951,"February",23.049
"15",1951,"March",25.076
"16",1951,"April",24.037
"17",1951,"May",24.43
"18",1951,"June",24.667
"19",1951,"July",26.451
"20",1951,"August",25.618
"21",1951,"September",25.014
"22",1951,"October",25.11
"23",1951,"November",22.964
"24",1951,"December",23.981
"25",1952,"January",23.798
"26",1952,"February",22.27
"27",1952,"March",24.775
"28",1952,"April",22.646
"29",1952,"May",23.988
"30",1952,"June",24.737
"31",1952,"July",26.276
"32",1952,"August",25.816
"33",1952,"September",25.21
"34",1952,"October",25.199
"35",1952,"November",23.162
"36",1952,"December",24.707
"37",1953,"January",24.364
"38",1953,"February",22.644
"39",1953,"March",25.565
"40",1953,"April",24.062
"41",1953,"May",25.431
"42",1953,"June",24.635
"43",1953,"July",27.009
"44",1953,"August",26.606
"45",1953,"September",26.268
"46",1953,"October",26.462
"47",1953,"November",25.246
"48",1953,"December",25.18
"49",1954,"January",24.657
"50",1954,"February",23.304
"51",1954,"March",26.982
"52",1954,"April",26.199
"53",1954,"May",27.21
"54",1954,"June",26.122
"55",1954,"July",26.706
"56",1954,"August",26.878
"57",1954,"September",26.152
"58",1954,"October",26.379
"59",1954,"November",24.712
"60",1954,"December",25.688
"61",1955,"January",24.99
"62",1955,"February",24.239
"63",1955,"March",26.721
"64",1955,"April",23.475
"65",1955,"May",24.767
"66",1955,"June",26.219
"67",1955,"July",28.361
"68",1955,"August",28.599
"69",1955,"September",27.914
"70",1955,"October",27.784
"71",1955,"November",25.693
"72",1955,"December",26.881
"73",1956,"January",26.217
"74",1956,"February",24.218
"75",1956,"March",27.914
"76",1956,"April",26.975
"77",1956,"May",28.527
"78",1956,"June",27.139
"79",1956,"July",28.982
"80",1956,"August",28.169
"81",1956,"September",28.056
"82",1956,"October",29.136
"83",1956,"November",26.291
"84",1956,"December",26.987
"85",1957,"January",26.589
"86",1957,"February",24.848
"87",1957,"March",27.543
"88",1957,"April",26.896
"89",1957,"May",28.878
"90",1957,"June",27.39
"91",1957,"July",28.065
"92",1957,"August",28.141
"93",1957,"September",29.048
"94",1957,"October",28.484
"95",1957,"November",26.634
"96",1957,"December",27.735
"97",1958,"January",27.132
"98",1958,"February",24.924
"99",1958,"March",28.963
"100",1958,"April",26.589
"101",1958,"May",27.931
"102",1958,"June",28.009
"103",1958,"July",29.229
"104",1958,"August",28.759
"105",1958,"September",28.405
"106",1958,"October",27.945
"107",1958,"November",25.912
"108",1958,"December",26.619
"109",1959,"January",26.076
"110",1959,"February",25.286
"111",1959,"March",27.66
"112",1959,"April",25.951
"113",1959,"May",26.398
"114",1959,"June",25.565
"115",1959,"July",28.865
"116",1959,"August",30
"117",1959,"September",29.261
"118",1959,"October",29.012
"119",1959,"November",26.992
"120",1959,"December",27.897
